,V1
S1170,ureteral neoplasms
S1171,urologic diseases
S1172,urticaria
S1173,abscess
S1174,accutane embryopathy
S1175,acidosis, renal tubular
S1176,acneiform eruptions
S1177,acrodermatitis
S1178,acth deficiency, isolated
S1179,actinomycetales infections
S1180,acute-phase reaction
S1181,adams-stokes syndrome
S1182,adenocarcinoma, bronchiolo-alveolar
S1183,adenoviridae infections
S1184,adrenal cortex diseases
S1185,adrenal gland diseases
S1186,adrenal hyperplasia, congenital
S1187,adrenocortical adenoma
S1188,adrenocortical carcinoma
S1189,affective disorders, psychotic
S1190,aids-related opportunistic infections
S1191,akinetic mutism
S1192,alopecia areata
S1193,altitude sickness
S1194,amphetamine-related disorders
S1195,amyopathic dermatomyositis
S1196,amyotrophic lateral sclerosis
S1197,anemia, hypoplastic, congenital
S1198,anemia, refractory, with excess of blasts
S1199,angioedemas, hereditary
S1200,anorexia nervosa
S1201,anotia
S1202,anti-neutrophil cytoplasmic antibody-associated vasculitis
S1203,aortic valve stenosis
S1204,aortitis
S1205,aphasia, broca
S1206,arsenic poisoning
S1207,arthritis, juvenile rheumatoid
S1208,aspergillosis
S1209,asthenia
S1210,atypical hemolytic uremic syndrome
S1211,azoospermia
S1212,bacteremia
S1213,bacterial infections
S1214,berylliosis
S1215,biliary tract neoplasms
S1216,blast crisis
S1217,blastomycosis
S1218,blepharospasm
S1219,blue toe syndrome
S1220,bone diseases, infectious
S1221,bone marrow neoplasms
S1222,brachial plexus neuritis
S1223,brain abscess
S1224,brain hemorrhage, traumatic
S1225,bronchial neoplasms
S1226,bronchitis
S1227,bronchitis, chronic
S1228,bronchopneumonia
S1229,bronchopulmonary dysplasia
S1230,burkitt lymphoma
S1231,cachexia
S1232,candidiasis
S1233,candidiasis, chronic mucocutaneous
S1234,candidiasis, invasive
S1235,candidiasis, oral
S1236,capillary leak syndrome
S1237,carcinoma, bronchogenic
S1238,carcinoma, ehrlich tumor
S1239,carcinoma, large cell
S1240,carcinoma, lewis lung
S1241,carcinoma, lobular
S1242,carcinoma, small cell
S1243,carcinoma, squamous cell of head and neck
S1244,carcinosarcoma
S1245,cardiac output, low
S1246,cardiac tamponade
S1247,carotid artery injuries
S1248,carotid stenosis
S1249,cataplexy
S1250,cavernous sinus thrombosis
S1251,celiac disease
S1252,central nervous system fungal infections
S1253,cerebral hemorrhage, traumatic
S1254,cheilitis
S1255,cholangitis, sclerosing
S1256,chorioamnionitis
S1257,cicatrix
S1258,cochlear diseases
S1259,colitis, ulcerative
S1260,community-acquired infections
S1261,conjunctival diseases
S1262,conjunctivitis
S1263,constipation
S1264,contusions
S1265,corneal ulcer
S1266,craniocerebral trauma
S1267,cross infection
S1268,cryptococcosis
S1269,cushing syndrome
S1270,cyanosis
S1271,cysticercosis
S1272,cytochrome-c oxidase deficiency
S1273,deafness
S1274,deficiency diseases
S1275,dehydration
S1276,delayed graft function
S1277,dental caries
S1278,dermatitis, contact
S1279,diabetes insipidus, nephrogenic
S1280,diabetic foot
S1281,diffuse axonal injury
S1282,diplopia
S1283,discitis
S1284,disease progression
S1285,dissociative disorders
S1286,dog diseases
S1287,dysgerminoma
S1288,echinococcosis
S1289,eczema
S1290,encephalitis
S1291,endocarditis, bacterial
S1292,endocarditis, subacute bacterial
S1293,endolymphatic hydrops
S1294,endomyocardial fibrosis
S1295,endotoxemia
S1296,enterobacteriaceae infections
S1297,enterocolitis, necrotizing
S1298,enterocolitis, neutropenic
S1299,enterocolitis, pseudomembranous
S1300,eosinophilia-myalgia syndrome
S1301,epidural abscess
S1302,erythema
S1303,erythema nodosum
S1304,esophageal diseases
S1305,esophagitis
S1306,eye injuries
S1307,facial dermatoses
S1308,facies
S1309,fallopian tube neoplasms
S1310,fasciculation
S1311,fat necrosis
S1312,fibrocystic breast disease
S1313,fibroma
S1314,focal nodular hyperplasia
S1315,foreign-body reaction
S1316,gas poisoning
S1317,genital neoplasms, female
S1318,germinoma
S1319,giant cell arteritis
S1320,glaucoma, open-angle
S1321,gliosis
S1322,glomerulonephritis, iga
S1323,glomerulonephritis, membranoproliferative
S1324,goiter
S1325,gonadal dysgenesis
S1326,gram-negative bacterial infections
S1327,gram-positive bacterial infections
S1328,granuloma, laryngeal
S1329,granuloma, respiratory tract
S1330,granulomatous allergic angiitis
S1331,granulosa cell tumor
S1332,graves disease
S1333,graves ophthalmopathy
S1334,hand-foot syndrome
S1335,head and neck neoplasms
S1336,hearing loss, cisplatin-induced, susceptibility to
S1337,hearing loss, conductive
S1338,hearing loss, high-frequency
S1339,hearing loss, unilateral
S1340,heart block
S1341,heart injuries
S1342,hemangioendothelioma
S1343,hemangioma, cavernous
S1344,hemiplegia
S1345,hemoglobinuria
S1346,hemoptysis
S1347,hepatic insufficiency
S1348,hepatitis, animal
S1349,hepatitis b
S1350,hepatolenticular degeneration
S1351,hereditary angioedema types i and ii
S1352,hernia, diaphragmatic
S1353,hiccup
S1354,hidradenitis suppurativa
S1355,high serum cholesterol, familial
S1356,histiocytic disorders, malignant
S1357,histiocytosis
S1358,histiocytosis, langerhans-cell
S1359,histoplasmosis
S1360,hoarseness
S1361,hodgkin disease
S1362,huntington disease
S1363,hyperaldosteronism
S1364,hypercalciuria
S1365,hypereosinophilic syndrome
S1366,hyperpigmentation
S1367,hypersensitivity, immediate
S1368,hypersplenism
S1369,hypertension, portal
S1370,hypertrophy, right ventricular
S1371,hypoalphalipoproteinemias
S1372,hypomagnesemia 2, renal
S1373,hypomagnesemia primary
S1374,hypoproteinemia
S1375,hypotension, orthostatic
S1376,ichthyosis
S1377,idiopathic intracranial hypertension with papilledema
S1378,ileal diseases
S1379,ileus
S1380,infarction, middle cerebral artery
S1381,inflammatory bowel diseases
S1382,intervertebral disc degeneration
S1383,intestinal polyps
S1384,intracranial aneurysm
S1385,iridocyclitis
S1386,iron metabolism disorders
S1387,isotretinoin embryopathy like syndrome
S1388,jaw diseases
S1389,joint diseases
S1390,kashin-beck disease
S1391,kidney cortex necrosis
S1392,kleine-levin syndrome
S1393,lacrimal apparatus diseases
S1394,laryngostenosis
S1395,latent tuberculosis
S1396,leiomyosarcoma
S1397,leishmaniasis
S1398,leishmaniasis, cutaneous
S1399,leishmaniasis, mucocutaneous
S1400,leishmaniasis, visceral
S1401,leprosy, lepromatous
S1402,leukemia, lymphocytic, chronic, b-cell
S1403,leukemia, lymphoid
S1404,leukemia, myelomonocytic, chronic
S1405,leukemia, promyelocytic, acute
S1406,leukomalacia, periventricular
S1407,leukorrhea
S1408,lichen planus
S1409,lipodystrophy
S1410,liver abscess, amebic
S1411,liver cirrhosis, biliary
S1412,liver diseases, alcoholic
S1413,lung diseases, fungal
S1414,lung diseases, obstructive
S1415,lupus nephritis
S1416,lymphatic metastasis
S1417,lymphedema
S1418,lymphocele
S1419,lymphoma, aids-related
S1420,lymphoma, large b-cell, diffuse
S1421,lymphoma, t-cell, peripheral
S1422,macrostomia
S1423,malnutrition
S1424,mastitis
S1425,mastodynia
S1426,maxillary sinus neoplasms
S1427,mediastinitis
S1428,meningeal neoplasms
S1429,meningitis, aseptic
S1430,meningitis, bacterial
S1431,meningitis, cryptococcal
S1432,meningitis, listeria
S1433,meningitis, pneumococcal
S1434,meningoencephalitis
S1435,menkes kinky hair syndrome
S1436,menorrhagia
S1437,menstruation disturbances
S1438,microphthalmos
S1439,microstomia
S1440,microvascular angina
S1441,miller fisher syndrome
S1442,miosis
S1443,motion sickness
S1444,motor neuron disease
S1445,multiple pulmonary nodules
S1446,multiple sclerosis
S1447,multiple sclerosis, chronic progressive
S1448,mushroom poisoning
S1449,mycobacterium infections
S1450,mycobacterium infections, nontuberculous
S1451,mycoses
S1452,myelinolysis, central pontine
S1453,myopia
S1454,myositis, inclusion body
S1455,myxedema
S1456,narcolepsy
S1457,neointima
S1458,neoplasms, germ cell and embryonal
S1459,neoplasms, glandular and epithelial
S1460,neoplasms, unknown primary
S1461,nephrolithiasis
S1462,neurasthenia
S1463,neuritis
S1464,neuroblastoma
S1465,neurocysticercosis
S1466,neuroectodermal tumors
S1467,neuromuscular junction diseases
S1468,neurotic disorders
S1469,neutrophil chemotactic response
S1470,night blindness
S1471,nocardiosis
S1472,nonseminomatous germ cell tumor
S1473,occipital horn syndrome
S1474,ocular hypertension
S1475,ocular hypotension
S1476,onychomycosis
S1477,opportunistic infections
S1478,osteosclerosis
S1479,ovarian epithelial cancer
S1480,pancreatic diseases
S1481,panniculitis, lupus erythematosus
S1482,paraganglioma, extra-adrenal
S1483,paraparesis, tropical spastic
S1484,paraproteinemias
S1485,paronychia
S1486,pellagra
S1487,pemphigoid, bullous
S1488,penile diseases
S1489,perceptual disorders
S1490,periodontitis
S1491,peripheral arterial disease
S1492,phlebitis
S1493,pica
S1494,picornaviridae infections
S1495,pituitary apoplexy
S1496,placental insufficiency
S1497,plasmacytoma
S1498,pleural diseases
S1499,pneumonia, bacterial
S1500,pneumonia, pneumococcal
S1501,pneumonia, staphylococcal
S1502,polyarteritis nodosa
S1503,polycystic kidney, autosomal dominant
S1504,polycystic kidney diseases
S1505,polycythemia vera
S1506,polyomavirus infections
S1507,polyradiculoneuropathy, chronic inflammatory demyelinating
S1508,poultry diseases
S1509,precursor b-cell lymphoblastic leukemia-lymphoma
S1510,pre-excitation syndromes
S1511,pregnancy complications, infectious
S1512,primary myelofibrosis
S1513,prion diseases
S1514,proctitis
S1515,protein c deficiency
S1516,pseudomonas infections
S1517,psoas abscess
S1518,pulmonary disease, chronic obstructive
S1519,pulmonary fibrosis
S1520,pulpitis
S1521,pyomyositis
S1522,rectal neoplasms
S1523,respiratory sounds
S1524,retroperitoneal liposarcoma
S1525,rhabdoviridae infections
S1526,rheumatic diseases
S1527,rheumatic fever
S1528,rippling muscle disease, 1
S1529,rosacea
S1530,sacroiliitis
S1531,sagittal sinus thrombosis
S1532,salmonella infections, animal
S1533,sarcoidosis
S1534,sarcoma, ewing
S1535,sarcoma, synovial
S1536,sarcopenia
S1537,sciatic neuropathy
S1538,scleral diseases
S1539,scleritis
S1540,scleromyxedema
S1541,sclerosis
S1542,scrapie
S1543,scurvy
S1544,sepsis
S1545,shock, septic
S1546,shoulder pain
S1547,shwartzman phenomenon
S1548,sjogren&apos;s syndrome
S1549,skin diseases, bacterial
S1550,sleep apnea, central
S1551,somatoform disorders
S1552,spinocerebellar degenerations
S1553,staphylococcal infections
S1554,staphylococcal skin infections
S1555,starvation
S1556,status asthmaticus
S1557,stiff-person syndrome
S1558,stomatitis
S1559,striae distensae
S1560,striatonigral degeneration
S1561,surgical wound dehiscence
S1562,syncope, vasovagal
S1563,tachycardia, atrioventricular nodal reentry
S1564,tachycardia, reciprocating
S1565,telangiectasis
S1566,teratoma
S1567,testicular neoplasms
S1568,thrombocytopenic purpura, autoimmune
S1569,thyrotoxicosis
S1570,tinea versicolor
S1571,tissue adhesions
S1572,tooth injuries
S1573,tooth loss
S1574,toxoplasmosis, cerebral
S1575,tracheal diseases
S1576,tracheal neoplasms
S1577,trypanosomiasis
S1578,tuberculosis
S1579,tuberculosis, central nervous system
S1580,tuberculosis, gastrointestinal
S1581,tuberculosis, lymph node
S1582,tuberculosis, meningeal
S1583,tuberculosis, multidrug-resistant
S1584,tuberculosis, pleural
S1585,tuberculosis, pulmonary
S1586,tuberculosis, spinal
S1587,tuberous sclerosis
S1588,urethral neoplasms
S1589,urethritis
S1590,urinary tract infections
S1591,urogenital neoplasms
S1592,urologic neoplasms
S1593,uveomeningoencephalitic syndrome
S1594,vaginal neoplasms
S1595,ventricular flutter
S1596,ventricular outflow obstruction
S1597,ventricular premature complexes
S1598,ventricular remodeling
S1599,vertigo
S1600,viremia
S1601,virus diseases
S1602,vitamin b 6 deficiency
S1603,vitiligo
S1604,vocal cord paralysis
S1605,vulvar diseases
S1606,waldenstrom macroglobulinemia
S1607,water-electrolyte imbalance
S1608,wolff-parkinson-white syndrome
S1609,wounds and injuries
S1610,wounds, penetrating
S1611,arrest of spermatogenesis
S1612,arthritis, infectious
S1613,chlamydia infections
S1614,glycosuria, renal
S1615,renal aminoacidurias
S1616,angina pectoris, variant
S1617,hemangiosarcoma
S1618,leukemia, erythroblastic, acute
S1619,leukostasis
S1620,lipoma
S1621,liposarcoma
S1622,neoplasms, adipose tissue
S1623,peritoneal fibrosis
S1624,persistent fetal circulation syndrome
S1625,splenic neoplasms
S1626,vascular neoplasms
S1627,coloboma
S1628,corneal neovascularization
S1629,fetal weight
S1630,hereditary sensory and motor neuropathy
S1631,muscular atrophy, spinal
S1632,nervous system neoplasms
S1633,respiratory tract diseases
S1634,tobacco use disorder
S1635,achalasia addisonianism alacrimia syndrome
S1636,amyloidosis
S1637,anus, imperforate
S1638,bladder exstrophy
S1639,blepharoptosis
S1640,blister
S1641,cheyne-stokes respiration
S1642,cholestasis, extrahepatic
S1643,conjunctivitis, allergic
S1644,cryptogenic organizing pneumonia
S1645,cutis marmorata telangiectatica congenita
S1646,digestive system abnormalities
S1647,down syndrome
S1648,eclampsia
S1649,endocrine gland neoplasms
S1650,eosinophilic granuloma
S1651,epidermolysis bullosa
S1652,epilepsia partialis continua
S1653,fatigue syndrome, chronic
S1654,fecal impaction
S1655,fetal hydantoin syndrome
S1656,foot deformities, congenital
S1657,ganglioneuroblastoma
S1658,hand deformities, congenital
S1659,hernia, umbilical
S1660,holoprosencephaly
S1661,hyperhidrosis
S1662,hyperparathyroidism, secondary
S1663,hypopigmentation
S1664,iga deficiency
S1665,immunoblastic lymphadenopathy
S1666,isaacs syndrome
S1667,lymphocytosis
S1668,median neuropathy
S1669,megacolon
S1670,mesenchymoma
S1671,mucocutaneous lymph node syndrome
S1672,myotonia congenita
S1673,myotonic dystrophy
S1674,neuroaxonal dystrophies
S1675,neuroectodermal tumor, melanotic
S1676,neuroectodermal tumors, primitive
S1677,ornithine carbamoyltransferase deficiency disease
S1678,peroneal neuropathies
S1679,polydactyly
S1680,pregnancy, prolonged
S1681,reflex, babinski
S1682,serum sickness
S1683,skin diseases, papulosquamous
S1684,systemic necrotizing angiitis
S1685,tachycardia, ectopic junctional
S1686,thymus hyperplasia
S1687,tibial neuropathy
S1688,trigeminal neuralgia
S1689,ulnar neuropathies
S1690,vitamin d deficiency
S1691,cryptosporidiosis
S1692,subdural effusion
S1693,acquired immunodeficiency syndrome
S1694,adrenal cortex neoplasms
S1695,alstrom syndrome
S1696,brucellosis
S1697,carotid artery diseases
S1698,corynebacterium infections
S1699,delayed emergence from anesthesia
S1700,dystonic disorders
S1701,leprosy
S1702,leprosy, borderline
S1703,leprosy, multibacillary
S1704,leprosy, tuberculoid
S1705,lipodystrophy, familial partial
S1706,meningitis, meningococcal
S1707,meningococcal infections
S1708,mycobacterium avium-intracellulare infection
S1709,panuveitis
S1710,phosphorus metabolism disorders
S1711,plant poisoning
S1712,pleurisy
S1713,retinal vasculitis
S1714,tooth demineralization
S1715,tuberculosis, renal
S1716,agammaglobulinemia
S1717,alcoholic intoxication
S1718,alcohol-induced disorders, nervous system
S1719,alexander disease
S1720,amnesia, transient global
S1721,amyotrophic lateral sclerosis 1
S1722,anophthalmos
S1723,aortopulmonary septal defect
S1724,aphonia
S1725,arthropathy, neurogenic
S1726,body temperature changes
S1727,body weight
S1728,bone marrow failure syndromes
S1729,bulimia
S1730,calculi
S1731,capgras syndrome
S1732,carcinoid tumor
S1733,carcinoma, basal cell
S1734,cardiomyopathy dilated with woolly hair and keratoderma
S1735,chalazion
S1736,cholestasis, intrahepatic of pregnancy
S1737,cholestasis, progressive familial intrahepatic 1
S1738,clubfoot
S1739,congenital hypothyroidism
S1740,conotruncal cardiac defects
S1741,coronary vessel anomalies
S1742,desmoid disease, hereditary
S1743,desmoplastic small round cell tumor
S1744,digestive system diseases
S1745,dilatation, pathologic
S1746,endocardial fibroelastosis
S1747,epididymitis
S1748,epilepsy, benign neonatal
S1749,erythromelalgia
S1750,esophageal and gastric varices
S1751,esophageal atresia
S1752,familial primary gastric lymphoma
S1753,fetal alcohol syndrome
S1754,foot dermatoses
S1755,foot ulcer
S1756,galactorrhea
S1757,hand dermatoses
S1758,headache disorders, primary
S1759,hearing loss, noise-induced
